core_name,core_no.,core_depth,obs_sand_pct,obs_silt_pct,obs_clay_pct,obs_texture,wss1,wss1_silt_pct,wss1_sand_pct,wss1_clay_pct,wss1_texture,wss1_txt_mtd,wss1_ksat,wss1_ksat_mtd,wss2,wss2_silt_pct,wss2_sand_pct,wss2_clay_pct,wss2_texture,wss2_txt_mtd,wss2_ksat,wss2_ksat_mtd,longitude,latitude,wss3,wss3_silt_pct,wss3_sand_pct,wss3_clay_pct,wss3_texture,wss3txt_mtd,wss3_ksat,wss3_ksat_mtd,wss4,wss4_silt_pct,wss4_sand_pct,wss4_clay_pct,wss4_texture,wss4txt_mtd,wss4_ksat,wss4_ksat_mtd,wss5,wss5_silt_pct,wss5_sand_pct,wss5_clay_pct,wss5_texture,wss5txt_mtd,wss5_ksat,wss5_ksat_mtd,wss6,wss6_silt_pct,wss6_sand_pct,wss6_clay_pct,wss6_texture,wss6_txt_mtd,wss6_ksat,wss6_ksat_mtd
neiu,1.0,0-10,0,86.4,13.6,Silt Loam,Anthroportic Udorthents,63,8,29,Silt Clay Loam,1,3.312,1,Ashkum,55,8,37,Silt Clay Loam,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,10-20,14.3,56.9,28.8,Silty Clay Loam,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,3.312,1,Ashkum,55,8,37,Silt Clay Loam,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,20-30,24.8,59.5,15.7,Silt Loam,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,3.312,1,Ashkum,55,8,37,Silt Clay Loam,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,30-40,12.2,63.9,23.9,Silt Loam,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,3.312,1,Ashkum,51,8,41,Silt Clay,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,40-50,12.3,57.4,30.3,Silty Clay Loam,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,3.312,1,Ashkum,51,8,41,Silt Clay,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,50-60,75.6,24.4,0,Loamy Sand,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,3.312,1,Ashkum,51,8,41,Silt Clay,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,60-70,7.8,67,25.2,Silt Loam,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,3.312,1,Ashkum,51,8,41,Silt Clay,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,70-80,16.5,63.2,20.3,Silt Loam,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,8.388,1,Ashkum,54.5,8.5,37,Silt Clay Loam,2,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,80-90,16.5,46.9,36.6,Silty Clay Loam,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,8.388,1,Ashkum,58,9,33,Silt Clay Loam,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neiu,1.0,90-100,11.7,52.3,36,Silty Clay Loam,Anthroportic Udorthents,57,11,32,Silt Clay Loam,1,8.388,1,Ashkum,58,9,33,Silt Clay Loam,1,10.152,1,-87.7184778,41.9778636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
